{'Episode': 97, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -71.47000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8251482132286803, 'Loss': 0.01646878756582737, 'Goal_Reached': 0}
{'Episode': 98, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -72.17000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.823497916802223, 'Loss': 0.054735466837882996, 'Goal_Reached': 0}
{'Episode': 99, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -72.92000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8218509209686186, 'Loss': 0.035880401730537415, 'Goal_Reached': 0}
{'Episode': 100, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -73.67000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8202072191266814, 'Loss': 0.08708710968494415, 'Goal_Reached': 0}
{'Episode': 101, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -74.42000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.818566804688428, 'Loss': 0.04967028275132179, 'Goal_Reached': 0}
{'Episode': 102, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -75.17000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8169296710790511, 'Loss': 0.054144687950611115, 'Goal_Reached': 0}
{'Episode': 103, 'Steps': 7, 'Return': -0.58012785905575, 'Episode_Reward': -0.62, 'Cumulative_Reward': -75.79000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.815295811736893, 'Loss': 0.021874623373150826, 'Goal_Reached': 0}
{'Episode': 104, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -76.54000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8136652201134192, 'Loss': 0.02164522185921669, 'Goal_Reached': 0}
{'Episode': 105, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -77.29000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8120378896731923, 'Loss': 0.034880753606557846, 'Goal_Reached': 0}
{'Episode': 106, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -78.11000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8104138138938459, 'Loss': 0.012561580166220665, 'Goal_Reached': 0}
{'Episode': 107, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -78.86000000000003, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8087929862660582, 'Loss': 0.011021055281162262, 'Goal_Reached': 0}
