Episode 1, Step 197, Action: 0, Reward: -1.00, Total Reward: -621.20
Episode 1, Step 198, Action: 0, Reward: -1.00, Total Reward: -623.20
Episode 1, Step 199, Action: 3, Reward: -1.00, Total Reward: -626.50
Episode 1, Step 200, Action: 3, Reward: -1.00, Total Reward: -628.50
Episode 1/1000, Total Reward: -628.50

Episode 2, Step 1, Action: 1, Reward: -1.00, Total Reward: -2.00
Episode 2, Step 2, Action: 3, Reward: -1.00, Total Reward: -4.00
Episode 2, Step 3, Action: 1, Reward: -1.00, Total Reward: -6.00
Episode 2, Step 4, Action: 3, Reward: -1.00, Total Reward: -8.00
Episode 2, Step 5, Action: 3, Reward: -1.00, Total Reward: -10.00
Episode 2, Step 6, Action: 2, Reward: -2.80, Total Reward: -13.80
Episode 2, Step 7, Action: 3, Reward: -1.00, Total Reward: -15.80
Episode 2, Step 8, Action: 0, Reward: -1.00, Total Reward: -20.20
Episode 2, Step 9, Action: 0, Reward: -1.00, Total Reward: -22.20
Episode 2, Step 10, Action: 1, Reward: -1.00, Total Reward: -24.20
Episode 2, Step 11, Action: 3, Reward: -1.00, Total Reward: -26.20
Episode 2, Step 12, Action: 3, Reward: -1.00, Total Reward: -28.20
Episode 2, Step 13, Action: 1, Reward: -1.00, Total Reward: -30.20
Episode 2, Step 14, Action: 0, Reward: -1.00, Total Reward: -32.20
Episode 2, Step 15, Action: 3, Reward: -1.00, Total Reward: -34.20
Episode 2, Step 16, Action: 0, Reward: -1.00, Total Reward: -36.20
Episode 2, Step 17, Action: 1, Reward: -1.00, Total Reward: -38.20
Episode 2, Step 18, Action: 3, Reward: -1.00, Total Reward: -40.20
Episode 2, Step 19, Action: 0, Reward: -1.00, Total Reward: -42.20
Episode 2, Step 20, Action: 2, Reward: -2.30, Total Reward: -45.50
Episode 2, Step 21, Action: 3, Reward: -1.00, Total Reward: -47.50
Episode 2, Step 22, Action: 0, Reward: -1.00, Total Reward: -51.90
Episode 2, Step 23, Action: 0, Reward: -1.00, Total Reward: -53.90
Episode 2, Step 24, Action: 3, Reward: -1.00, Total Reward: -55.90
Episode 2, Step 25, Action: 0, Reward: -1.00, Total Reward: -57.90
Episode 2, Step 26, Action: 0, Reward: -1.00, Total Reward: -59.90
Episode 2, Step 27, Action: 1, Reward: -1.00, Total Reward: -61.90
Episode 2, Step 28, Action: 0, Reward: -1.00, Total Reward: -63.90
Episode 2, Step 29, Action: 3, Reward: -1.00, Total Reward: -65.90
Episode 2, Step 30, Action: 1, Reward: -1.00, Total Reward: -67.90
Episode 2, Step 31, Action: 3, Reward: -1.00, Total Reward: -69.90
Episode 2, Step 32, Action: 1, Reward: -1.00, Total Reward: -71.90
Episode 2, Step 33, Action: 3, Reward: -1.00, Total Reward: -73.90
Episode 2, Step 34, Action: 3, Reward: -1.00, Total Reward: -75.90
Episode 2, Step 35, Action: 2, Reward: -2.30, Total Reward: -79.20
Episode 2, Step 36, Action: 3, Reward: -1.00, Total Reward: -82.40
Episode 2, Step 37, Action: 3, Reward: -1.00, Total Reward: -84.40
Episode 2, Step 38, Action: 1, Reward: -1.00, Total Reward: -86.40
Episode 2, Step 39, Action: 1, Reward: -1.00, Total Reward: -90.70
Episode 2, Step 40, Action: 3, Reward: -1.00, Total Reward: -92.70
Episode 2, Step 41, Action: 0, Reward: -1.00, Total Reward: -97.10
Episode 2, Step 42, Action: 0, Reward: -1.00, Total Reward: -99.10
Episode 2, Step 43, Action: 1, Reward: -1.00, Total Reward: -101.10
Episode 2, Step 44, Action: 1, Reward: -1.00, Total Reward: -103.10
Episode 2, Step 45, Action: 3, Reward: -1.00, Total Reward: -106.40
Episode 2, Step 46, Action: 0, Reward: -1.00, Total Reward: -110.80
Episode 2, Step 47, Action: 0, Reward: -1.00, Total Reward: -112.80
Episode 2, Step 48, Action: 0, Reward: -1.00, Total Reward: -114.80
Episode 2, Step 49, Action: 0, Reward: -1.00, Total Reward: -116.80
Episode 2, Step 50, Action: 0, Reward: -1.00, Total Reward: -118.80
Episode 2, Step 51, Action: 2, Reward: -2.30, Total Reward: -122.10
Episode 2, Step 52, Action: 3, Reward: -1.00, Total Reward: -126.50
Episode 2, Step 53, Action: 0, Reward: -1.00, Total Reward: -128.50
Episode 2, Step 54, Action: 3, Reward: -1.00, Total Reward: -131.80
Episode 2, Step 55, Action: 3, Reward: -1.00, Total Reward: -133.80
Episode 2, Step 56, Action: 0, Reward: -1.00, Total Reward: -138.20
Episode 2, Step 57, Action: 3, Reward: -1.00, Total Reward: -140.20
Episode 2, Step 58, Action: 0, Reward: -1.00, Total Reward: -142.20
Episode 2, Step 59, Action: 0, Reward: -1.00, Total Reward: -144.20
Episode 2, Step 60, Action: 3, Reward: -1.00, Total Reward: -146.20
Episode 2, Step 61, Action: 3, Reward: -1.00, Total Reward: -148.20
Episode 2, Step 62, Action: 0, Reward: -1.00, Total Reward: -150.20
Episode 2, Step 63, Action: 3, Reward: -1.00, Total Reward: -152.20
Episode 2, Step 64, Action: 3, Reward: -1.00, Total Reward: -154.20
Episode 2, Step 65, Action: 2, Reward: -2.30, Total Reward: -157.50
Episode 2, Step 66, Action: 2, Reward: -2.20, Total Reward: -160.70
Episode 2, Step 67, Action: 3, Reward: -1.00, Total Reward: -162.70
Episode 2, Step 68, Action: 3, Reward: -1.00, Total Reward: -167.00
Episode 2, Step 69, Action: 3, Reward: -1.00, Total Reward: -169.00
Episode 2, Step 70, Action: 3, Reward: -1.00, Total Reward: -171.00
Episode 2, Step 71, Action: 0, Reward: -1.00, Total Reward: -175.40
Episode 2, Step 72, Action: 1, Reward: -1.00, Total Reward: -177.40
Episode 2, Step 73, Action: 1, Reward: -1.00, Total Reward: -179.40
Episode 2, Step 74, Action: 3, Reward: -1.00, Total Reward: -181.40
Episode 2, Step 75, Action: 3, Reward: -1.00, Total Reward: -183.40
Episode 2, Step 76, Action: 3, Reward: -1.00, Total Reward: -185.40
Episode 2, Step 77, Action: 1, Reward: -1.00, Total Reward: -187.40
Episode 2, Step 78, Action: 0, Reward: -1.00, Total Reward: -189.40
Episode 2, Step 79, Action: 0, Reward: -1.00, Total Reward: -191.40
Episode 2, Step 80, Action: 0, Reward: -1.00, Total Reward: -193.40
Episode 2, Step 81, Action: 0, Reward: -1.00, Total Reward: -195.40
Episode 2, Step 82, Action: 0, Reward: -1.00, Total Reward: -197.40
Episode 2, Step 83, Action: 1, Reward: -1.00, Total Reward: -199.40
Episode 2, Step 84, Action: 3, Reward: -1.00, Total Reward: -201.40
Episode 2, Step 85, Action: 0, Reward: -1.00, Total Reward: -203.40
Episode 2, Step 86, Action: 3, Reward: -1.00, Total Reward: -206.70
Episode 2, Step 87, Action: 0, Reward: -1.00, Total Reward: -211.10
Episode 2, Step 88, Action: 2, Reward: -2.30, Total Reward: -214.40
Episode 2, Step 89, Action: 0, Reward: -1.00, Total Reward: -218.80
Episode 2, Step 90, Action: 1, Reward: -1.00, Total Reward: -220.80
Episode 2, Step 91, Action: 3, Reward: -1.00, Total Reward: -222.80
Episode 2, Step 92, Action: 0, Reward: -1.00, Total Reward: -224.80
