Episode 187/5000 - Steps: 1, Return: -0.75, Epsilon: 0.945720, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 188/5000 - Steps: 2, Return: -0.69, Epsilon: 0.945437, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 189/5000 - Steps: 1, Return: -0.75, Epsilon: 0.945153, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 190/5000 - Steps: 2, Return: -0.69, Epsilon: 0.944869, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 191/5000 - Steps: 1, Return: -0.75, Epsilon: 0.944586, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 192/5000 - Steps: 1, Return: -0.75, Epsilon: 0.944303, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 193/5000 - Steps: 1, Return: -0.75, Epsilon: 0.944019, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 194/5000 - Steps: 2, Return: -0.69, Epsilon: 0.943736, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 195/5000 - Steps: 2, Return: -0.69, Epsilon: 0.943453, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 196/5000 - Steps: 1, Return: -0.75, Epsilon: 0.943170, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 197/5000 - Steps: 4, Return: -0.75, Epsilon: 0.942887, Loss: 0.001, Reward: -0.77, Termination: wall_collision
Episode 198/5000 - Steps: 2, Return: -0.69, Epsilon: 0.942604, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 199/5000 - Steps: 1, Return: -0.75, Epsilon: 0.942321, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 200/5000 - Steps: 1, Return: -0.75, Epsilon: 0.942039, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 201/5000 - Steps: 1, Return: -0.75, Epsilon: 0.941756, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 202/5000 - Steps: 3, Return: -0.64, Epsilon: 0.941474, Loss: 0.000, Reward: -0.65, Termination: wall_collision
Episode 203/5000 - Steps: 3, Return: -0.80, Epsilon: 0.941191, Loss: 0.000, Reward: -0.82, Termination: wall_collision
Episode 204/5000 - Steps: 7, Return: -0.91, Epsilon: 0.940909, Loss: 0.000, Reward: -0.96, Termination: wall_collision
Episode 205/5000 - Steps: 2, Return: -0.69, Epsilon: 0.940626, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 206/5000 - Steps: 1, Return: -0.75, Epsilon: 0.940344, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 207/5000 - Steps: 1, Return: -0.75, Epsilon: 0.940062, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 208/5000 - Steps: 1, Return: -0.75, Epsilon: 0.939780, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 209/5000 - Steps: 1, Return: -0.75, Epsilon: 0.939498, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 210/5000 - Steps: 4, Return: -0.58, Epsilon: 0.939216, Loss: 0.000, Reward: -0.60, Termination: wall_collision
Episode 211/5000 - Steps: 2, Return: -0.69, Epsilon: 0.938935, Loss: 0.001, Reward: -0.70, Termination: wall_collision
Episode 212/5000 - Steps: 1, Return: -0.75, Epsilon: 0.938653, Loss: 0.000, Reward: -0.75, Termination: wall_collision
